Litob_id,Length,Width,Height,Rib count,Length (Hinge Line),Distance Umbos
10001,48. 05,37.6,32.15,20,33.55,4.1
20001,48. 05,37.6,32.15,20,33.55,4.1
30001,48. 05,37.6,32.15,20,33.55,4.1
40001,48. 05,37.6,32.15,20,33.55,4.1
50001,48. 05,37.6,32.15,20,33.55,4.1
60001,48. 05,37.6,32.15,20,33.55,4.1
10002,47.4,32.5,32.25,20,33.1,3.05
20002,47.4,32.5,32.25,20,33.1,3.05
30002,47.4,32.5,32.25,20,33.1,3.05
40002,47.4,32.5,32.25,20,33.1,3.05
50002,47.4,32.5,32.25,20,33.1,3.05
60002,47.4,32.5,32.25,20,33.1,3.05
10003,43. 30,34.1,31. 25,21,32.05,4.5
20003,43. 30,34.1,31. 25,21,32.05,4.5
30003,43. 30,34.1,31. 25,21,32.05,4.5
40003,43. 30,34.1,31. 25,21,32.05,4.5
50003,43. 30,34.1,31. 25,21,32.05,4.5
60003,43. 30,34.1,31. 25,21,32.05,4.5
10075,50.05,35.05,32.05,21,30.05,4.1
20075,50.05,35.05,32.05,21,30.05,4.1
30075,50.05,35.05,32.05,21,30.05,4.1
40075,50.05,35.05,32.05,21,30.05,4.1
50075,50.05,35.05,32.05,21,30.05,4.1
60075,50.05,35.05,32.05,21,30.05,4.1
10076,40.25,33.55,32.4,20,29.35,3.4
20076,40.25,33.55,32.4,20,29.35,3.4
30076,40.25,33.55,32.4,20,29.35,3.4
40076,40.25,33.55,32.4,20,29.35,3.4
50076,40.25,33.55,32.4,20,29.35,3.4
60076,40.25,33.55,32.4,20,29.35,3.4
10077,57.05,45.05,41.1,20,35.05,4.05
20077,57.05,45.05,41.1,20,35.05,4.05
30077,57.05,45.05,41.1,20,35.05,4.05
40077,57.05,45.05,41.1,20,35.05,4.05
50077,57.05,45.05,41.1,20,35.05,4.05
60077,57.05,45.05,41.1,20,35.05,4.05
10078,44.25,31.7,31.5,19,23.05,2.1
20078,44.25,31.7,31.5,19,23.05,2.1
30078,44.25,31.7,31.5,19,23.05,2.1
40078,44.25,31.7,31.5,19,23.05,2.1
50078,44.25,31.7,31.5,19,23.05,2.1
60078,44.25,31.7,31.5,19,23.05,2.1
10079,44.05,30.5,31.8,19,22.1,2.7
20079,44.05,30.5,31.8,19,22.1,2.7
30079,44.05,30.5,31.8,19,22.1,2.7
40079,44.05,30.5,31.8,19,22.1,2.7
50079,44.05,30.5,31.8,19,22.1,2.7
60079,44.05,30.5,31.8,19,22.1,2.7
10080,43.25,36.4,31.05,20,25.05,3.45
20080,43.25,36.4,31.05,20,25.05,3.45
30080,43.25,36.4,31.05,20,25.05,3.45
40080,43.25,36.4,31.05,20,25.05,3.45
50080,43.25,36.4,31.05,20,25.05,3.45
60080,43.25,36.4,31.05,20,25.05,3.45
10081,43.15,34.55,34.75,20,24.75,2.75
20081,43.15,34.55,34.75,20,24.75,2.75
30081,43.15,34.55,34.75,20,24.75,2.75
40081,43.15,34.55,34.75,20,24.75,2.75
50081,43.15,34.55,34.75,20,24.75,2.75
60081,43.15,34.55,34.75,20,24.75,2.75
10082,43.05,31.6,29.1,20,23.3,3.45
20082,43.05,31.6,29.1,20,23.3,3.45
30082,43.05,31.6,29.1,20,23.3,3.45
40082,43.05,31.6,29.1,20,23.3,3.45
50082,43.05,31.6,29.1,20,23.3,3.45
60082,43.05,31.6,29.1,20,23.3,3.45
10083,43.25,34.7,30.4,19,26.1,2.8
20083,43.25,34.7,30.4,19,26.1,2.8
30083,43.25,34.7,30.4,19,26.1,2.8
40083,43.25,34.7,30.4,19,26.1,2.8
50083,43.25,34.7,30.4,19,26.1,2.8
60083,43.25,34.7,30.4,19,26.1,2.8
10084,57.6,43.05,41.05,20,36.05,5.4
20084,57.6,43.05,41.05,20,36.05,5.4
30084,57.6,43.05,41.05,20,36.05,5.4
40084,57.6,43.05,41.05,20,36.05,5.4
50084,57.6,43.05,41.05,20,36.05,5.4
60084,57.6,43.05,41.05,20,36.05,5.4
10085,42.2,30.3,29.4,20,25.1,1.05
20085,42.2,30.3,29.4,20,25.1,1.05
30085,42.2,30.3,29.4,20,25.1,1.05
40085,42.2,30.3,29.4,20,25.1,1.05
50085,42.2,30.3,29.4,20,25.1,1.05
60085,42.2,30.3,29.4,20,25.1,1.05
10086,41.05,32.2,30.05,18,25.05,3.45
20086,41.05,32.2,30.05,18,25.05,3.45
30086,41.05,32.2,30.05,18,25.05,3.45
40086,41.05,32.2,30.05,18,25.05,3.45
50086,41.05,32.2,30.05,18,25.05,3.45
60086,41.05,32.2,30.05,18,25.05,3.45
10087,41.05,33.55,31.1,20,35.55,1.1
20087,41.05,33.55,31.1,20,35.55,1.1
30087,41.05,33.55,31.1,20,35.55,1.1
40087,41.05,33.55,31.1,20,35.55,1.1
50087,41.05,33.55,31.1,20,35.55,1.1
60087,41.05,33.55,31.1,20,35.55,1.1
10088,40.05,31.05,27.35,18,25.05,3.45
