Litob_id,Length,Width,Height,Rib count,Length (Hinge Line),Distance Umbos
110004,43.1,33.05,28.15,21,28.5,3.05
120004,43.1,33.05,28.15,21,28.5,3.05
130004,43.1,33.05,28.15,21,28.5,3.05
140004,43.1,33.05,28.15,21,28.5,3.05
150004,43.1,33.05,28.15,21,28.5,3.05
160004,43.1,33.05,28.15,21,28.5,3.05
110005,41.1,31.05,27.6,20,23.05,3.35
120005,41.1,31.05,27.6,20,23.05,3.35
130005,41.1,31.05,27.6,20,23.05,3.35
140005,41.1,31.05,27.6,20,23.05,3.35
150005,41.1,31.05,27.6,20,23.05,3.35
160005,41.1,31.05,27.6,20,23.05,3.35
110006,43.2,33.45,29.35,20,29.35,3.3
120006,43.2,33.45,29.35,20,29.35,3.3
130006,43.2,33.45,29.35,20,29.35,3.3
140006,43.2,33.45,29.35,20,29.35,3.3
150006,43.2,33.45,29.35,20,29.35,3.3
160006,43.2,33.45,29.35,20,29.35,3.3
110007,41.5,32.55,27.7,20,24.1,3.7
120007,41.5,32.55,27.7,20,24.1,3.7
130007,41.5,32.55,27.7,20,24.1,3.7
140007,41.5,32.55,27.7,20,24.1,3.7
150007,41.5,32.55,27.7,20,24.1,3.7
160007,41.5,32.55,27.7,20,24.1,3.7
110008,42.2,33.05,27.7,21,24.05,2.05
120008,42.2,33.05,26.1,21,24.05,2.05
130008,42.2,33.05,26.1,21,24.05,2.05
140008,42.2,33.05,26.1,21,24.05,2.05
150008,42.2,33.05,26.1,21,24.05,2.05
160008,42.2,33.05,26.1,21,24.05,2.05
110009,48.35,36.55,34.35,21,31.45,4.55
120009,48.35,36.55,34.35,21,31.45,4.55
130009,48.35,36.55,34.35,21,31.45,4.55
140009,48.35,36.55,34.35,21,31.45,4.55
150009,48.35,36.55,34.35,21,31.45,4.55
160009,48.35,36.55,34.35,21,31.45,4.55
110010,53.15,44.7,39.1,20,38.1,1.25
120010,53.15,44.7,39.1,20,38.1,1.25
130010,53.15,44.7,39.1,20,38.1,1.25
140010,53.15,44.7,39.1,20,38.1,1.25
150010,53.15,44.7,39.1,20,38.1,1.25
160010,53.15,44.7,39.1,20,38.1,1.25
110011,50.65,39.1,30.1,20,32.05,2.1
120011,50.65,39.1,30.1,20,32.05,2.1
130011,50.65,39.1,30.1,20,32.05,2.1
140011,50.65,39.1,30.1,20,32.05,2.1
150011,50.65,39.1,30.1,20,32.05,2.1
160011,50.65,39.1,30.1,20,32.05,2.1
110012,49.05,39.3,31.65,20,31.5,4.05
120012,49.05,39.3,31.65,20,31.5,4.05
130012,49.05,39.3,31.65,20,31.5,4.05
140012,49.05,39.3,31.65,20,31.5,4.05
150012,49.05,39.3,31.65,20,31.5,4.05
160012,49.05,39.3,31.65,20,31.5,4.05
110013,51.05,38.05,34.1,20,32.35,2.05
120013,51.05,38.05,34.1,20,32.35,2.05
130013,51.05,38.05,34.1,20,32.35,2.05
140013,51.05,38.05,34.1,20,32.35,2.05
150013,51.05,38.05,34.1,20,32.35,2.05
160013,51.05,38.05,34.1,20,32.35,2.05
110014,44.45,34.3,24.1,20,26.1,2.2
120014,44.45,34.3,24.1,20,26.1,2.2
130014,44.45,34.3,24.1,20,26.1,2.2
140014,44.45,34.3,24.1,20,26.1,2.2
150014,44.45,34.3,24.1,20,26.1,2.2
160014,44.45,34.3,24.1,20,26.1,2.2
110015,44.05,33.1,29.2,18,26.35,2.1
120015,44.05,33.1,29.2,18,26.35,2.1
130015,44.05,33.1,29.2,18,26.35,2.1
140015,44.05,33.1,29.2,18,26.35,2.1
150015,44.05,33.1,29.2,18,26.35,2.1
160015,44.05,33.1,29.2,18,26.35,2.1
110016,44.4,32.05,28.7,21,26.05,2.05
120016,44.4,32.05,28.7,21,26.05,2.05
130016,44.4,32.05,28.7,21,26.05,2.05
140016,44.4,32.05,28.7,21,26.05,2.05
150016,44.4,32.05,28.7,21,26.05,2.05
